index,start_time,end_time,original_telugu,transliteration,Actors
531,"00:21:27,895","00:21:30,405",అయ్యా పంతులు గారు స్విమ్మింగ్ పూల్ దగ్గర మేడం గారున్నారు.,ayyaa panthulu gaaru svimming pool dhaggara medam gaarunnaaru.,
532,"00:21:30,756","00:21:33,486",అక్కడికి వెళ్లి అడగండి. మేడము మేడము మేడము అసలు ఆ మేడానికి ఏమవుతాడు,akkadiki velli adagandi. medamu medamu medamu asalu aa medaaniki yemavuthaadu,
533,"00:21:33,536","00:21:35,465",ఈయన? తాత ఏడి తాతవా నువ్వు? ఆ,eeyana? thaatha yedi thaathavaa nuvvu? aa,
534,"00:21:42,516","00:21:44,285",ఇప్పుడు ఈ పింజారి వెధవ మనవరాలు ఎక్కడ చచ్చిందో.,ippudu ee pinjaari vedhava manavaraalu yekkada chachhindho.,
535,"00:21:44,776","00:21:44,875",ఆ,aa,
536,"00:21:47,236","00:21:49,625",రామ రామ అక్కడ చక్కెర తక్కువ ఇక్కడ బట్టలు తక్కువ.,raama raama akkada chakkera thakkuva ikkada battalu thakkuva.,
537,"00:21:49,675","00:21:50,025",స్వీటీ,sveetee,
538,"00:21:51,455","00:21:51,555",స్వీటీ స్వీటీ,sveetee sveetee,
539,"00:21:57,605","00:21:58,165",అయ్యో అయ్యో,ayyo ayyo,
540,"00:21:58,215","00:21:59,045",అయ్యో అయ్యో ఆడపిల్లలా,ayyo ayyo aadapillalaa,
541,"00:21:59,175","00:22:01,065",మునిగిపోతూ ఉంటే చూస్తూ ఉంటారా మీ దుంపల దెగ.,munigipothoo unte choosthoo untaaraa mee dhumpala dhega.,
542,"00:22:05,276","00:22:06,005",ఏమిటండీ ఇది?,yemitandee idhi?,
543,"00:22:06,256","00:22:07,005",ఎందుకండీ ఈ చచ్చిపోవడం?,yendhukandee ee chachhipovadam?,
544,"00:22:07,316","00:22:08,945",ఆత్మహత్య ప్రయత్నం తప్పు తెలుసా?,aathmahathya prayathnam thappu thelusaa?,
545,"00:22:09,736","00:22:10,525",ఆగండి ఆగండి ఆగండి ఆగండి.,aagandi aagandi aagandi aagandi.,
546,"00:22:10,736","00:22:11,086",ఏ,ye,
547,"00:22:11,326","00:22:11,765",ఏం చేస్తున్నావ్?,yem chesthunnaav?,
548,"00:22:12,036","00:22:13,105",నోట్లో నోరు పెట్టి ఊత్తే,notlo noru petti ooththe,
549,"00:22:13,395","00:22:13,745",ఊపిరితిత్తులకి,oopirithiththulaki,
550,"00:22:13,955","00:22:15,225",గాలి బాగా చేరి శ్వాస బాగుంటుంది.,gaali baagaa cheri shvaasa baaguntundhi.,
551,"00:22:15,415","00:22:16,065",సినిమాలో చూడట్లా?,sinimaalo choodatlaa?,
552,"00:22:16,296","00:22:17,545",ఏయ్ అసలు నన్ను పైకి ఎవరిత్తమన్నారు?,yey asalu nannu paiki yevariththamannaaru?,
553,"00:22:17,895","00:22:19,965",మంచి పని చేయడానికి ఒకళ్ళకి చెప్పాల్సిన అవసరం లేదండి.,manchi pani cheyadaaniki okallaki cheppaalsina avasaram ledhandi.,
554,"00:22:20,336","00:22:22,105",ఆపదలో ఉన్నారని అర్థమైంది. దూకేసి ఆపేశాను.,aapadhalo unnaarani arthamaindhi. dhookesi aapeshaanu.,
555,"00:22:22,375","00:22:23,665",థాంక్స్ చెప్పడానికి పోయి చస్తారా ఏమిటి?,thaanks cheppadaaniki poyi chasthaaraa yemiti?,
556,"00:22:26,336","00:22:27,445",చూడు అంతా నీ వల్లే,choodu anthaa nee valle,
557,"00:22:27,756","00:22:28,285",బెట్ ఓడిపోయాను.,bet odipoyaanu.,
558,"00:22:28,655","00:22:30,336",ఆ డబ్బు నీ బాబు ఇస్తాడా? బెట్టా అండి,aa dabbu nee baabu isthaadaa? bettaa andi,
559,"00:22:30,496","00:22:31,425",ఓట్టండి నాకు తెలీదండి.,ottandi naaku theleedhandi.,
560,"00:22:31,776","00:22:34,506",బుడబుడా మంటూ బుడగలు వస్తాయి నువ్వు. Shut up మీకు ఆ మాత్రం కోపం,budabudaa mantoo budagalu vasthaayi nuvvu. Shut up meeku aa maathram kopam,
561,"00:22:34,556","00:22:34,905",ఉంటుందిలెండి.,untundhilendi.,
562,"00:22:35,375","00:22:35,725",ఎందుకంటే,yendhukante,
563,"00:22:36,256","00:22:38,395",మీ ఎడమనోడు మడతలో పుట్టుమచ్చ ఉందిగా. ఆ,mee yedamanodu madathalo puttumachha undhigaa. aa,
564,"00:22:38,796","00:22:39,385",అంతే కాదండి,anthe kaadhandi,
565,"00:22:39,796","00:22:40,826",మీకు కవల పిల్లలు పుడతారు.,meeku kavala pillalu pudathaaru.,
566,"00:22:41,135","00:22:41,485",ఏంటి?,yenti?,
567,"00:22:41,695","00:22:43,005",అవునండి మచ్చ శాస్త్రం చెబుతుంది.,avunandi machha shaastha్ram chebuthundhi.,
568,"00:22:43,215","00:22:44,525",అంతే కాదు ఇటు రండి చెప్తా.,anthe kaadhu itu randi chepthaa.,
569,"00:22:46,966","00:22:47,466",నోర్ముయ్ అసలు,normuy asalu,
570,"00:22:47,516","00:22:47,865",నువ్విక్కడికెందుకొచ్చావ్?,nuvvikkadikendhukochhaav?,
571,"00:22:48,336","00:22:49,285",రోరింగ్ స్టార్ గారు పంపించారండి.,roring staar gaaru pampinchaarandi.,
572,"00:22:49,816","00:22:52,346",వారి మనవరాలు గారి దగ్గర సంభావన పుచ్చుకోమని చెప్పి ఇస్తే వెళ్లిపోతా.,vaari manavaraalu gaari dhaggara sambhaavana puchhukomani cheppi isthe vellipothaa.,
573,"00:22:52,935","00:22:54,086",ఆడి మనవరాలు నేను కాదు,aadi manavaraalu nenu kaadhu,
574,"00:22:54,316","00:22:54,665",అది.,adhi.,
575,"00:22:55,125","00:22:55,885",ఇదా? ఠీకే,idhaa? teeke,
576,"00:22:56,355","00:22:56,994",ఠీకే ఏ,teeke ye,
577,"00:22:57,336","00:22:57,685",స్వీటీ,sveetee,
578,"00:22:58,135","00:23:00,265",తుమ్ దస హజార్ హార్ గయా నా తో ఉస్కో దే దో.,thum dhasa hajaar haar gayaa naa tho usko dhe dho.,
579,"00:23:01,476","00:23:01,655",పదా,padhaa,
580,"00:23:03,346","00:23:04,135",ఏవండీ మీరందరూ,yevandee meerandharoo,
581,"00:23:04,215","00:23:04,965",ఆడపిల్లలే కదా.,aadapillale kadhaa.,
582,"00:23:05,195","00:23:07,025",ఇలా పట్టపగలే మద్యం సేవించడం తప్పు కాదు.,ilaa pattapagale madhyam sevinchadam thappu kaadhu.,
583,"00:23:07,415","00:23:09,185",ఇదంతా పార్టీ కల్చర్ నువ్వు నోరు మూసుకో.,idhanthaa paartee kalchar nuvvu noru moosuko.,
584,"00:23:09,476","00:23:09,816",ఊహూ,oohoo,
585,"00:23:10,236","00:23:10,336",ఊ,oo,
586,"00:23:10,915","00:23:12,905",ఇదిగో ఎనిమిది వేలు. మరి మిగతా రెండు వేలు.,idhigo yenimidhi velu. mari migathaa rendu velu.,
587,"00:23:13,375","00:23:15,526",రెండు మచ్చలు చూసావు కదా ఆ రెండు వేలు కట్.,rendu machhalu choosaavu kadhaa aa rendu velu kat.,
588,"00:23:15,976","00:23:17,586",అంటే చూసినవన్నీ చెప్పుంటే మొత్తం కట్ చేసేవాళ్ళా.,ante choosinavannee cheppunte moththam kat chesevaallaa.,
589,"00:23:17,836","00:23:17,935",ఆ,aa,
590,"00:23:19,715","00:23:19,935",పోయి,poyi,
591,"00:23:21,246","00:23:21,915",హు పొద్దున్నే,hu podhdhunne,
592,"00:23:21,996","00:23:22,165",చేప,chepa,
593,"00:23:22,576","00:23:22,955",ఇప్పుడు పాప,ippudu paapa,
594,"00:23:23,415","00:23:24,705",ఇంకా ఎన్ని అవాంతరాలు వస్తాయో.,inkaa yenni avaantharaalu vasthaayo.,
595,"00:23:32,855","00:23:33,336",Excuse me,Excuse me,
596,"00:23:33,855","00:23:35,105",Yes మేజర్ చంద్రశేఖర్,Yes mejar chandhrashekhar,
597,"00:23:35,875","00:23:37,405",డిఫెన్స్ రీసెర్చ్ ల్యాబ్ లో పనిచేసేవాడు.,diphens reeserch lyaab lo panichesevaadu.,
598,"00:23:38,155","00:23:38,885",వెపన్స్ డిజైనర్.,vepans dijainar.,
599,"00:23:39,516","00:23:40,125",అతని గురించి,athani gurinchi,
600,"00:23:40,655","00:23:41,425",డీటెయిల్స్ కావాలి.,deeteyils kaavaali.,
601,"00:23:41,615","00:23:42,285",ఆయన చనిపోయి,aayana chanipoyi,
602,"00:23:42,476","00:23:43,086",చాలా సంవత్సరాలయింది.,chaalaa samvathsaraalayindhi.,
603,"00:23:43,675","00:23:44,025",తెలుసు.,thelusu.,
604,"00:23:44,776","00:23:45,336",అతని భార్య,athani bhaarya,
605,"00:23:45,955","00:23:46,665",బతికే ఉందిగా.,bathike undhigaa.,
606,"00:23:46,915","00:23:48,765",సొరండి మిలిటరీలో పనిచేసే వాళ్లకు సంబంధించి,sorandi militareelo panichese vaallaku sambandhinchi,
607,"00:23:49,096","00:23:50,125",అన్ని డీటెయిల్స్ confidential,anni deeteyils confidential,
608,"00:23:50,336","00:23:50,985",ఎవరికీ చెప్పకూడదు.,yevarikee cheppakoodadhu.,
609,"00:23:52,635","00:23:52,985",రూల్స్,rools,
610,"00:23:53,316","00:23:54,065",మీలాంటి వాళ్ళకి,meelaanti vaallaki,
611,"00:23:54,675","00:23:55,025",మాలాంటి,maalaanti,
612,"00:23:55,195","00:23:55,545",criminals,criminals,
613,"00:23:55,816","00:23:56,205",కి కాదు.,ki kaadhu.,
614,"00:23:57,395","00:24:00,586",చండీగఢ్ sector 23 లో నీ old age parents ఉన్నారుగా.,chandeegad sector 23 lo nee old age parents unnaarugaa.,
615,"00:24:01,215","00:24:01,536",పాపం,paapam,
616,"00:24:02,596","00:24:03,276",వాళ్ళకేమన్నా అయితే,vaallakemannaa ayithe,
617,"00:24:04,865","00:24:05,816",దేశాన్ని కాపాడటం,dheshaanni kaapaadatam,
618,"00:24:05,875","00:24:06,556",మాత్రమే కాదు,maathrame kaadhu,
619,"00:24:07,626","00:24:08,496",ఫ్యామిలీని కాపాడటం,phyaamileeni kaapaadatam,
620,"00:24:08,576","00:24:09,165",కూడా నేర్చుకోండి.,koodaa nerchukondi.,
621,"00:24:09,976","00:24:10,375",డీటెయిల్స్.,deeteyils.,
622,"00:24:20,615","00:24:21,285",లాస్ట్ communication,laasta్ communication,
623,"00:24:21,556","00:24:22,525",ఈ address నుంచి జరిగింది.,ee address nunchi jarigindhi.,
624,"00:24:28,175","00:24:29,086",ఇల్లు చాలా బాగుందిరా.,illu chaalaa baagundhiraa.,
625,"00:24:30,096","00:24:30,445",అవును,avunu,
626,"00:24:30,996","00:24:32,405",ఇంతకీ నువ్వేం చేస్తున్నావ్ రా?,inthakee nuvvem chesthunnaav raa?,
627,"00:24:32,895","00:24:34,025",ఇంత పెద్ద ఇల్లు తీసుకున్నావ్.,intha pedhdha illu theesukunnaav.,
628,"00:24:34,476","00:24:34,675",ఆ,aa,
629,"00:24:35,096","00:24:35,826",scrap అమ్మా,scrap ammaa,
630,"00:24:36,036","00:24:36,685",scrap business.,scrap business.,
631,"00:24:37,056","00:24:38,185",మన దగ్గరున్న scrap అంతా,mana dhaggarunna scrap anthaa,
632,"00:24:38,576","00:24:40,236",పై రాష్ట్రాలకి చేరుస్తూ ఉంటాను. అవునా,pai raashtraalaki cherusthoo untaanu. avunaa,
633,"00:24:40,895","00:24:43,535",చేయరా బాగా చేయ్. డే అండ్ నైట్ కష్టపడి,cheyaraa baagaa chey. de and nait kashtapadi,
634,"00:24:43,986","00:24:45,035",ఇంకా బాగా సంపాదించు.,inkaa baagaa sampaadhinchu.,
635,"00:24:45,685","00:24:47,115",లైఫ్ లో ఎలాంటి కష్టం రాకుండా,laiph lo yelaanti kashtam raakundaa,
636,"00:24:47,445","00:24:48,355",నువ్వు ఇలాగే హ్యాపీగా,nuvvu ilaage hyaapeegaa,
637,"00:24:48,506","00:24:49,355",ఉండాలి. అలాగే,undaali. alaage,
638,"00:24:49,685","00:24:49,826",అమ్మ,amma,
639,"00:24:50,506","00:24:51,215",చూసావా నాన్న,choosaavaa naanna,
640,"00:24:51,566","00:24:52,336",డే అండ్ నైట్ కష్టపడాలంట.,de and nait kashtapadaalanta.,
641,"00:24:53,185","00:24:54,076",నువ్వు యాక్సిడెంట్ లో పోయావు,nuvvu yaaksident lo poyaavu,
642,"00:24:54,286","00:24:56,695",నేను ఎన్ కౌంటర్ లో పోతా. ఏంట్రా అంటున్నావ్ ఏం లేదమ్మా,nenu yen kauntar lo pothaa. yentraa antunnaav yem ledhammaa,
643,"00:24:56,925","00:24:57,875",నువ్వెళ్లి ఇల్లు మొత్తం చూది--,nuvvelli illu moththam choodhi--,
644,"00:25:01,066","00:25:01,405",హేయ్! హేయ్!,hey! hey!,
645,"00:25:01,455","00:25:02,965",హేయ్! బంద్ ద డోర్ క్లోజ్ ద డోర్.,hey! bandh dha dor kloj dha dor.,
646,"00:25:03,625","00:25:05,315",అన్ని క్లోజ్ చేసేసాం గా ఏయ్!,anni kloj chesesaam gaa yey!,
647,"00:25:05,965","00:25:08,516",రైల్వే స్టేషన్ లో అనౌన్సర్ లా మూడు భాషల్లో అరుస్తున్నావ్ ఎవరు,railve steshan lo anaunsar laa moodu bhaashallo arusthunnaav yevaru,
648,"00:25:08,566","00:25:08,786",నువ్వు,nuvvu,
649,"00:25:09,365","00:25:11,135",మీరు ఏ భాషోలో నాకు తెలియదు కదా సర్,meeru ye bhaasholo naaku theliyadhu kadhaa sar,
650,"00:25:11,385","00:25:12,395",అందుకే తెలుగు.,andhuke thelugu.,
651,"00:25:12,945","00:25:13,596",తెలుగు వాళ్ళమే,thelugu vaallame,
652,"00:25:13,826","00:25:14,046",చెప్పు,cheppu,
653,"00:25:14,705","00:25:15,455",నా పేరు నందు,naa peru nandhu,
654,"00:25:15,625","00:25:18,275",పక్కనున్న రెడ్డి కాలేజీలో బిఎస్సీ ఫైనల్ ఇయర్ చదువుతున్నా ఆంటీ.,pakkanunna reddi kaalejeelo biessee phainal iyar chadhuvuthunnaa aantee.,
655,"00:25:18,546","00:25:19,995",కొంతమంది వెధవలు నా వెంట పడితేనూ,konthamandhi vedhavalu naa venta padithenoo,
656,"00:25:20,306","00:25:20,655",యా,yaa,
657,"00:25:20,846","00:25:21,365",ఎందుకు పడ్డారు,yendhuku paddaaru,
658,"00:25:22,436","00:25:23,705",ఊమ్ అందం,oom andham,
659,"00:25:23,846","00:25:24,195",అందం,andham,
660,"00:25:24,385","00:25:24,735",సర్.,sar.,
661,"00:25:25,046","00:25:26,395",నా అందమే నాకు problem,naa andhame naaku problem,
662,"00:25:26,846","00:25:27,815",బాగానే ఉన్నావ్ కదమ్మా,baagaane unnaav kadhammaa,
663,"00:25:28,026","00:25:28,995",బానే ఏంటి ఆంటీ,baane yenti aantee,
664,"00:25:29,205","00:25:30,115",సూపర్ గా ఉంటాను.,soopar gaa untaanu.,
665,"00:25:30,326","00:25:33,076",అందుకే నా వెంట పడతారు ఇలాంటి బట్టలు వేసుకుని తిరిగితే ఎవడికైనా,andhuke naa venta padathaaru ilaanti battalu vesukuni thirigithe yevadikainaa,
666,"00:25:33,125","00:25:33,475",తగులుకుందామనే,thagulukundhaamane,
667,"00:25:33,685","00:25:34,035",అనిపిస్తుంది,anipisthundhi,
668,"00:25:34,425","00:25:34,975",ఏం చేయమంటారు,yem cheyamantaaru,
669,"00:25:35,546","00:25:36,795",చుడీదార్ లంగా ఓణి వేసుకుంటే,chudeedhaar langaa oni vesukunte,
670,"00:25:37,205","00:25:37,555",వెనకబడిపోయావ్,venakabadipoyaav,
671,"00:25:38,026","00:25:38,375",అంటారు.,antaaru.,
672,"00:25:38,625","00:25:39,495",మోడ్రన్ డ్రెస్ వేసుకుంటే,modran dres vesukunte,
673,"00:25:39,905","00:25:40,836",నా వెనక పడుతున్నారు.,naa venaka paduthunnaaru.,
674,"00:25:41,326","00:25:41,675",అవును,avunu,
675,"00:25:41,885","00:25:42,905",ఇతను మీ అబ్బాయా ఆంటీ,ithanu mee abbaayaa aantee,
676,"00:25:43,566","00:25:45,635",అవునమ్మా మీరు ఈ ఊర్లోనే ఉంటారా అవును.,avunammaa meeru ee oorlone untaaraa avunu.,
677,"00:25:45,965","00:25:48,415",యా ఏం లేదు నువ్వు ఎప్పుడూ నా వెంట పడకపోతేనూ,yaa yem ledhu nuvvu yeppudoo naa venta padakapothenoo,
678,"00:25:49,465","00:25:52,935",సిటీలో నా వెంట పడని మగవాడే లేడు ఆంటీ మా వాడు అలాంటి వాడు కాదమ్మా,siteelo naa venta padani magavaade ledu aantee maa vaadu alaanti vaadu kaadhammaa,
679,"00:25:53,716","00:25:54,986",ఊమ్ చూస్తేనే,oom choosthene,
680,"00:25:55,046","00:25:55,395",తెలుస్తుంది.,thelusthundhi.,
681,"00:25:56,125","00:25:56,475",ఆంటీ,aantee,
682,"00:25:56,806","00:25:58,635",పరిగెత్తి పరిగెత్తి నా calories అన్ని కరిగిపోయాయి,parigeththi parigeththi naa calories anni karigipoyaayi,
683,"00:25:59,006","00:26:00,775",కొంచెం బూస్ట్ హార్లిక్స్ లాంటిది ఏదైనా,konchem boosta్ haarliks laantidhi yedhainaa,
684,"00:26:01,046","00:26:02,615",ఊమ్ తెస్తాను ఊమ్,oom thesthaanu oom,
685,"00:26:04,125","00:26:06,506",ఊమ్ ఇల్లు చాలా బాగుంది కొత్తదా,oom illu chaalaa baagundhi koththadhaa,
686,"00:26:07,115","00:26:08,016",ఊమ్ ఏంటిది,oom yentidhi,
687,"00:26:08,066","00:26:09,285",అమ్మ వచ్చేస్తుంది అమ్మ వస్తుందన్న,amma vachhesthundhi amma vasthundhanna,
688,"00:26:09,526","00:26:11,775",భయం ఉంది కానీ నేను వస్తానన్న భయం లేదే,bhayam undhi kaanee nenu vasthaananna bhayam ledhe,
689,"00:26:12,246","00:26:13,076",అందుకే వచ్చా.,andhuke vachhaa.,
690,"00:26:13,486","00:26:15,475",నాలుగు రోజుల నుంచి కలవకుండా హ్యాండ్ ఇచ్చావుగా.,naalugu rojula nunchi kalavakundaa hyaand ichhaavugaa.,
691,"00:26:15,986","00:26:18,526",ఇక నుంచి రోజు వస్తా ఏంట్రా వచ్చేది నువ్వు,ika nunchi roju vasthaa yentraa vachhedhi nuvvu,
692,"00:26:19,556","00:26:20,105",ఏంట్రా అది,yentraa adhi,
693,"00:26:20,705","00:26:21,145",ఏం లేదమ్మా,yem ledhammaa,
694,"00:26:21,605","00:26:22,895",రేపు పొద్దున ఎవరైనా వెనకాల పడితే,repu podhdhuna yevarainaa venakaala padithe,
695,"00:26:23,066","00:26:24,336",ఆ self defense లు ఆ technique,aa self defense lu aa technique,
696,"00:26:25,046","00:26:26,525",లు ఎలా handle చేయాలో చెప్తున్నాను అర్థమైపోయిందా,lu yelaa handle cheyaalo chepthunnaanu arthamaipoyindhaa,
697,"00:26:26,915","00:26:29,096",ఆ నువ్వు అలా follow అయిపో అంతే చాలా thanks ఆంటీ.,aa nuvvu alaa follow ayipo anthe chaalaa thanks aantee.,
698,"00:26:29,165","00:26:31,665",ఆంటీ మీ అబ్బాయిని కొంచెం ఇంటి దగ్గర డ్రాప్ చేయమండ్రా ఎవరు నేనా,aantee mee abbaayini konchem inti dhaggara draap cheyamandraa yevaru nenaa,
699,"00:26:31,726","00:26:31,905",ఊ,oo,
700,"00:26:32,306","00:26:33,036",దింపేసి రారా,dhimpesi raaraa,
701,"00:26:33,786","00:26:34,405",చా పద,chaa padha,
702,"00:26:35,385","00:26:36,705",బాయ్ ఆంటీ thank you,baay aantee thank you,
703,"00:26:38,965","00:26:40,336",నా రెండో కొడుకు కూడా బతికుంటే,naa rendo koduku koodaa bathikunte,
704,"00:26:41,486","00:26:42,215",ఎంత బాగుండును,yentha baagundunu,
705,"00:26:50,655","00:26:51,336",Happy friendship,Happy friendship,
706,"00:26:51,385","00:26:51,995",day రా చారి,day raa chaari,
707,"00:26:52,185","00:26:53,995",ఊరుకోండి గురువు గారు నేను మీకు friend ఏమిటి,oorukondi guruvu gaaru nenu meeku friend yemiti,
708,"00:26:54,165","00:26:54,815",విడ్డూరం కాకపోతేను,viddooram kaakapothenu,
709,"00:26:55,125","00:26:56,035",ఇందులో విడ్డూరం ఏముందిరా,indhulo viddooram yemundhiraa,
710,"00:26:56,586","00:26:57,875",friendship కి age limit ఏం లేదే,friendship ki age limit yem ledhe,
711,"00:26:58,066","00:26:58,576",ఇది చెప్పడానికా,idhi cheppadaanikaa,
712,"00:26:58,996","00:26:59,875",అంత urgent గా రమ్మన్నారు,antha urgent gaa rammannaaru,
713,"00:27:00,145","00:27:00,536",కాదురా,kaadhuraa,
714,"00:27:01,786","00:27:04,326",ఎన్నాళ్ళ నుంచో నీ దగ్గర ఒక విషయం దాచాను కొంపతీసి మిరప ఆమ్లం కారా,yennaalla nuncho nee dhaggara oka vishayam dhaachaanu kompatheesi mirapa aamlam kaaraa,
715,"00:27:04,375","00:27:04,725",ఏమిటి.,yemiti.,
716,"00:27:05,226","00:27:07,486",ఆ పాత బస్తీ సలీం గారితో హలీం గురించి discuss చేసినప్పుడే నాకు,aa paatha basthee saleem gaaritho haleem gurinchi discuss chesinappude naaku,
717,"00:27:07,536","00:27:09,945",అనుమానం వచ్చింది సుమీ బా ఆపురా నీ అపరాధ పరిమాణాలు,anumaanam vachhindhi sumee baa aapuraa nee aparaadha parimaanaalu,
718,"00:27:10,086","00:27:10,435",నువ్వును.,nuvvunu.,
719,"00:27:12,125","00:27:13,836",నిన్ను ఒక విషయం అడగాలని ఉంది రా ఏమిటి,ninnu oka vishayam adagaalani undhi raa yemiti,
720,"00:27:14,006","00:27:14,955",నువ్వు ఎప్పుడైనా ఎవరినైనా,nuvvu yeppudainaa yevarinainaa,
721,"00:27:15,605","00:27:15,955",ప్రేమించావు,preminchaavu,
722,"00:27:16,125","00:27:16,225",రా,raa,
723,"00:27:17,445","00:27:18,536",ప్రేమా! నేనా!,premaa! nenaa!,
724,"00:27:18,586","00:27:20,355",మనం కూడా ప్రేమించవచ్చా గురువు గారు ఏం,manam koodaa preminchavachhaa guruvu gaaru yem,
725,"00:27:20,705","00:27:21,375",మనమెందుకు ప్రేమించకూడదు,manamendhuku preminchakoodadhu,
726,"00:27:21,776","00:27:22,755",అంటే చరిత్ర చూసుకుంటే,ante charithra choosukunte,
727,"00:27:23,486","00:27:24,195","సలీము అనార్కలి,","saleemu anaarkali,",
728,"00:27:24,486","00:27:25,175","రోమియో జూలియట్,","romiyo jooliyat,",
729,"00:27:25,425","00:27:28,395",కైలా మజ్ను ఎంత సేపు వాళ్ళే ఉన్నారు కానీ మన వాళ్ళు ప్రేమించినట్టు,kailaa majnu yentha sepu vaalle unnaaru kaanee mana vaallu preminchinattu,
730,"00:27:28,605","00:27:30,275",ఎక్కడా దాఖలాలు లేదే చరిత్రదే,yekkadaa dhaakhalaalu ledhe charithradhe,
731,"00:27:30,425","00:27:31,336",ఉంది రా చింపేస్తే,undhi raa chimpesthe,
732,"00:27:31,506","00:27:31,855",చిరిగిపోతుంది.,chirigipothundhi.,
733,"00:27:33,266","00:27:36,715",కానీ ప్రేమ అలా కాదు రా ప్రేమ ప్రేమ ప్రేమ అంటున్నారు కొంపతీసి మీరేమైనా.,kaanee prema alaa kaadhu raa prema prema prema antunnaaru kompatheesi meeremainaa.,
734,"00:27:39,346","00:27:39,915",ఏమిటి సిగ్గుపడుతున్నారా,yemiti siggupaduthunnaaraa,
735,"00:27:43,156","00:27:43,905",వీడి మొహానికి,veedi mohaaniki,
736,"00:27:43,965","00:27:44,535",సిగ్గు కూడాను,siggu koodaanu,
737,"00:27:44,885","00:27:45,235",ఏమండోయ్,yemandoy,
738,"00:27:45,865","00:27:48,115",మీరో మీరు సిగ్గుపడటం మాని ఆ అమ్మాయి ఎవరో చెప్పండి,meero meeru siggupadatam maani aa ammaayi yevaro cheppandi,
739,"00:27:48,326","00:27:49,905",మన రాజమండ్రి గణపతి శాస్త్రి లేడు,mana raajamandri ganapathi shaastha్ri ledu,
740,"00:27:50,716","00:27:51,276",లేడుగా పోయిన,ledugaa poyina,
741,"00:27:51,326","00:27:52,415",పుష్కరాలకి మనిషిగా మునిగి,pushkaraalaki manishigaa munigi,
742,"00:27:52,625","00:27:53,295",శవంగా తేలాడటగా,shavangaa thelaadatagaa,
743,"00:27:53,806","00:27:54,336",ఆ శవానికి,aa shavaaniki,
744,"00:27:54,465","00:27:55,115",పిండం పెడుతూనే,pindam peduthoone,
745,"00:27:55,605","00:27:56,695",వాళ్ళ పెద్దమ్మాయి శశికళకి,vaalla pedhdhammaayi shashikalaki,
746,"00:27:56,885","00:27:58,495",బీడ్ ఏసా ఏమిటి మంత్రాలు చదువుతున్నా,beed yesaa yemiti manthraalu chadhuvuthunnaa,
747,"00:27:58,895","00:27:59,975",నూరు మంత్రాలు చదువుతుంటే,nooru manthraalu chadhuvuthunte,
748,"00:28:00,526","00:28:01,695",కాళీగా ఏం చేస్తాయి రా.,kaaleegaa yem chesthaayi raa.,
749,"00:28:02,086","00:28:02,465",ఏసా,yesaa,
750,"00:28:03,266","00:28:03,935",కానీ నా bad luck,kaanee naa bad luck,
751,"00:28:04,705","00:28:05,775",నా ప్రేమను చెప్పే లోపే,naa premanu cheppe lope,
752,"00:28:06,125","00:28:06,836",దానికి పెళ్లి అయిపోయింది.,dhaaniki pelli ayipoyindhi.,
753,"00:28:07,586","00:28:08,875",అదే పెళ్ళిలో వాడి రెండో కూతురు,adhe pellilo vaadi rendo koothuru,
754,"00:28:09,046","00:28:09,875",లక్ష్మీకళను చూశా,laksha్meekalanu chooshaa,
755,"00:28:10,405","00:28:10,995",just average.,just average.,
756,"00:28:11,965","00:28:13,836",అందుకే దగ్గరుండి ఏదో సంబంధం చూసి పెళ్లి చేశా.,andhuke dhaggarundi yedho sambandham choosi pelli cheshaa.,
757,"00:28:15,266","00:28:16,076",కానీ మూడోది,kaanee moododhi,
758,"00:28:16,286","00:28:16,635",చంద్రకళ,chandhrakala,
759,"00:28:16,865","00:28:17,596",ఉంటుంది రా,untundhi raa,
760,"00:28:17,786","00:28:19,425",ఇంకా అది కూడా miss అయితే మీకు మిగిలేది తల్లే,inkaa adhi koodaa miss ayithe meeku migiledhi thalle,
761,"00:28:20,185","00:28:21,375",ఆ tension నాకు ఉంది రోయ్.,aa tension naaku undhi roy.,
762,"00:28:21,826","00:28:24,115",అందుకే సంవత్సరం క్రితం తల్లి కూతుళ్ళు ఇద్దరినీ సనత్ నగర్ shift,andhuke samvathsaram kritham thalli koothullu idhdharinee sanath nagar shift,
763,"00:28:24,165","00:28:24,515",చేశా.,cheshaa.,
764,"00:28:24,806","00:28:25,155",ఒరేయ్,orey,
765,"00:28:25,746","00:28:27,055",చంద్రకళకి నిన్ను పరిచయం చేస్తాను.,chandhrakalaki ninnu parichayam chesthaanu.,
766,"00:28:27,645","00:28:28,975",నా గురించి నేను చెప్పుకోలేని విషయాలు,naa gurinchi nenu cheppukoleni vishayaalu,
767,"00:28:29,165","00:28:31,286",నువ్వు కొంచెం గట్టిగా చెప్పాలి రా అమ్మాయిని చూపించండి గురువు గారు,nuvvu konchem gattigaa cheppaali raa ammaayini choopinchandi guruvu gaaru,
768,"00:28:31,486","00:28:31,836",అల్లుకుపోతాను,allukupothaanu,
769,"00:28:32,185","00:28:32,535",ఆ,aa,
770,"00:28:33,105","00:28:34,235",ఆ పని మాత్రం చేయకు రోయ్.,aa pani maathram cheyaku roy.,
771,"00:28:34,566","00:28:35,836",పెళ్ళిలో మంత్రాలు సాయం చేసినట్టు,pellilo manthraalu saayam chesinattu,
